n,prime,chi5,S_n,is_tie,gap_to_next_tie
4146,84713,-1,-1,False,
4147,84719,1,0,True,2
4148,84731,1,1,False,
4149,84737,-1,0,True,4
4150,84761,1,1,False,
4151,84809,1,2,False,
4152,84827,-1,1,False,
4153,84857,-1,0,True,2
4154,84869,1,1,False,
4155,84947,-1,0,True,4
4156,84977,-1,-1,False,
4157,85037,-1,-2,False,
4158,85049,1,-1,False,
4159,85061,1,0,True,2
4160,85091,1,1,False,
4161,85103,-1,0,True,4
4162,85109,1,1,False,
4163,85121,1,2,False,
4164,85133,-1,1,False,
4165,85193,-1,0,True,2
4166,85199,1,1,False,
4167,85223,-1,0,True,2
4168,85229,1,1,False,
4169,85247,-1,0,True,2
4170,85259,1,1,False,
4171,85313,-1,0,True,20
4172,85331,1,1,False,
4173,85361,1,2,False,
4174,85427,-1,1,False,
4175,85439,1,2,False,
4176,85451,1,3,False,
4177,85469,1,4,False,
4178,85487,-1,3,False,
4179,85517,-1,2,False,
4180,85523,-1,1,False,
4181,85571,1,2,False,
4182,85577,-1,1,False,
4183,85601,1,2,False,
4184,85607,-1,1,False,
4185,85619,1,2,False,
4186,85643,-1,1,False,
4187,85661,1,2,False,
4188,85667,-1,1,False,
4189,85691,1,2,False,
4190,85703,-1,1,False,
4191,85733,-1,0,True,4
4192,85751,1,1,False,
4193,85781,1,2,False,
4194,85793,-1,1,False,
4195,85817,-1,0,True,2
4196,85829,1,1,False,
4197,85847,-1,0,True,2
4198,85853,-1,-1,False,
4199,85889,1,0,True,160
4200,85931,1,1,False,
4201,85991,1,2,False,
4202,86027,-1,1,False,
4203,86069,1,2,False,
4204,86111,1,3,False,
4205,86117,-1,2,False,
4206,86171,1,3,False,
4207,86183,-1,2,False,
4208,86201,1,3,False,
4209,86243,-1,2,False,
4210,86249,1,3,False,
4211,86291,1,4,False,
4212,86297,-1,3,False,
4213,86351,1,4,False,
4214,86357,-1,3,False,
4215,86369,1,4,False,
4216,86381,1,5,False,
4217,86399,1,6,False,
4218,86423,-1,5,False,
4219,86441,1,6,False,
4220,86453,-1,5,False,
4221,86477,-1,4,False,
4222,86501,1,5,False,
4223,86531,1,6,False,
4224,86561,1,7,False,
4225,86573,-1,6,False,
4226,86579,1,7,False,
4227,86627,-1,6,False,
4228,86693,-1,5,False,
4229,86711,1,6,False,
4230,86729,1,7,False,
4231,86753,-1,6,False,
4232,86771,1,7,False,
4233,86783,-1,6,False,
4234,86813,-1,5,False,
4235,86837,-1,4,False,
4236,86843,-1,3,False,
4237,86861,1,4,False,
4238,86927,-1,3,False,
4239,86939,1,4,False,
4240,86951,1,5,False,
4241,86969,1,6,False,
4242,86981,1,7,False,
4243,86993,-1,6,False,
4244,87011,1,7,False,
4245,87041,1,8,False,
4246,87071,1,9,False,
4247,87083,-1,8,False,
4248,87107,-1,7,False,
4249,87119,1,8,False,
4250,87149,1,9,False,
4251,87179,1,10,False,
4252,87221,1,11,False,
4253,87251,1,12,False,
4254,87257,-1,11,False,
4255,87281,1,12,False,
4256,87293,-1,11,False,
4257,87299,1,12,False,
4258,87317,-1,11,False,
4259,87323,-1,10,False,
4260,87359,1,11,False,
4261,87383,-1,10,False,
4262,87407,-1,9,False,
4263,87443,-1,8,False,
4264,87473,-1,7,False,
4265,87491,1,8,False,
4266,87509,1,9,False,
4267,87539,1,10,False,
4268,87557,-1,9,False,
4269,87587,-1,8,False,
4270,87623,-1,7,False,
4271,87629,1,8,False,
4272,87641,1,9,False,
4273,87671,1,10,False,
4274,87683,-1,9,False,
4275,87701,1,10,False,
4276,87719,1,11,False,
4277,87743,-1,10,False,
4278,87767,-1,9,False,
4279,87797,-1,8,False,
4280,87803,-1,7,False,
