mu_-0.01,mu_-0.015,mu_-0.02,mu_-0.025,mu_-0.03
40,28,7,4,137
46,134,90,144,42
58,65,48,49,54
31,34,10,2,13
49,9,17,25,6
10,7,63,39,3
11,7,3,6,22
37,24,52,8,65
176,60,46,56,42
101,1,108,69,0
47,7,18,3,10
74,27,69,33,24
11,28,47,56,18
118,141,38,92,6
44,59,29,14,27
119,1,87,44,119
58,53,3,42,10
26,4,119,66,28
2,46,70,86,10
160,74,64,13,18
86,144,5,101,20
11,79,9,117,10
85,12,23,81,0
49,81,33,12,12
2,52,96,59,10
112,6,26,42,27
11,12,41,11,18
104,118,9,12,17
30,0,25,16,1
18,27,78,2,14
16,47,125,16,37
20,60,18,6,61
27,40,23,24,7
41,73,76,3,3
171,5,108,66,90
19,5,117,9,14
46,68,34,16,0
27,13,12,72,13
219,3,55,6,26
93,85,32,3,61
21,98,19,65,8
64,9,32,32,5
78,22,22,1,7
90,5,53,104,24
130,6,6,7,7
0,78,28,45,17
6,11,7,23,46
51,91,144,24,61
16,44,40,20,87
150,69,14,39,64
94,60,8,70,101
26,87,35,17,22
6,135,45,21,24
70,31,13,12,101
19,15,1,2,18
108,120,59,126,8
179,57,19,64,6
109,7,17,4,42
21,7,70,31,26
71,24,15,18,5
32,13,69,39,97
104,40,15,15,53
89,109,59,26,18
7,38,9,3,14
62,5,58,1,94
78,71,12,25,3
51,72,86,6,4
68,115,5,30,21
23,3,3,19,10
46,35,119,64,22
17,6,52,172,58
1,52,2,85,21
30,4,11,21,20
49,38,18,7,16
55,15,5,22,4
70,58,29,32,2
60,21,6,10,15
79,74,28,11,37
0,81,33,171,6
14,118,37,0,156
31,30,1,48,2
41,18,33,30,34
2,16,20,5,49
56,22,33,15,32
14,12,18,28,0
11,6,56,97,45
69,44,17,1,65
16,46,12,21,26
120,6,27,49,9
4,88,12,3,4
106,57,61,44,21
12,5,131,77,23
9,26,21,175,32
49,120,30,40,3
16,35,10,90,97
104,152,40,27,88
33,25,23,18,15
111,6,33,16,63
47,17,55,16,14
35,70,22,18,23
102,43,157,22,102
49,28,45,27,72
3,3,11,29,30
61,54,210,10,66
63,0,63,3,4
7,181,58,32,20
130,65,17,69,47
15,18,77,63,9
87,10,23,5,34
5,105,41,9,14
12,10,84,66,9
46,58,4,73,2
5,34,49,32,10
39,23,14,21,83
32,52,14,85,79
12,41,70,5,33
68,23,46,76,10
90,84,7,35,9
79,20,0,18,42
40,99,9,26,28
22,119,57,21,17
71,15,45,45,63
54,25,73,7,9
2,14,108,118,1
165,140,33,68,95
57,86,8,46,4
30,5,43,8,0
52,74,49,31,13
4,24,6,4,40
119,151,21,45,7
7,13,54,20,14
71,70,14,29,30
13,48,15,6,24
22,25,13,78,18
5,112,8,48,18
31,15,38,25,21
84,13,62,114,8
2,9,24,0,4
4,12,100,2,17
38,106,4,85,30
7,55,86,6,1
98,47,77,19,2
